periodo,año,trimestre,sector_codigo,sector_nombre,A_notional_nominal_total,A_notional_real_total,log_A_real,d_log_A_real
2013T1,2013,1,S122,Bancos y cooperativas,128138.27763587462,6.769545008520147,1.912433877652419,0.004543176260731974
2013T2,2013,2,S122,Bancos y cooperativas,130345.9329346627,6.866148832002834,1.926603371468615,0.014169493816196033
2013T3,2013,3,S122,Bancos y cooperativas,132365.09580230777,6.95359243532608,1.9392584232005965,0.012655051731981448
2013T4,2013,4,S122,Bancos y cooperativas,136668.52995378518,7.1382134299513496,1.9654625251465032,0.02620410194590672
2014T1,2014,1,S122,Bancos y cooperativas,137413.57662364733,7.169773883065923,1.9698741175822927,0.00441159243578948
2014T2,2014,2,S122,Bancos y cooperativas,138085.52762992782,7.197744325737966,1.9737676888450941,0.003893571262801432
2014T3,2014,3,S122,Bancos y cooperativas,140995.2529435431,7.318140010349914,1.9903561987383884,0.0165885098932943
2014T4,2014,4,S122,Bancos y cooperativas,148647.66397728954,7.628871319913217,2.031939907737266,0.041583708998877755
2015T1,2015,1,S122,Bancos y cooperativas,148833.34008609218,7.636412146286301,2.0329278785146387,0.00098797077737256
2015T2,2015,2,S122,Bancos y cooperativas,151411.10709197586,7.739593154696982,2.0463491222274626,0.013421243712823827
2015T3,2015,3,S122,Bancos y cooperativas,154227.9400798949,7.850724460664659,2.060605815518802,0.014256693291339495
2015T4,2015,4,S122,Bancos y cooperativas,161452.01478303707,8.132594581809894,2.0958800094004015,0.03527419388159947
2016T1,2016,1,S122,Bancos y cooperativas,162547.1946064782,8.175023595524076,2.1010836030817908,0.005203593681389229
2016T2,2016,2,S122,Bancos y cooperativas,165785.66901504353,8.299331353355424,2.116174951720738,0.015091348638947455
2016T3,2016,3,S122,Bancos y cooperativas,165982.3811740248,8.306832493861798,2.117078368197363,0.0009034164766248409
2016T4,2016,4,S122,Bancos y cooperativas,173254.65191100104,8.582841157029762,2.14976499586901,0.032686627671647095
2017T1,2017,1,S122,Bancos y cooperativas,171471.2994627506,8.515473504781742,2.1418849208811612,-0.007880074987848928
2017T2,2017,2,S122,Bancos y cooperativas,175279.5956394719,8.658293055614733,2.1585175964043093,0.016632675523148066
2017T3,2017,3,S122,Bancos y cooperativas,177197.51085818995,8.730241524230722,2.166793035474624,0.008275439070314583
2017T4,2017,4,S122,Bancos y cooperativas,185746.16715029196,9.049243376303368,2.202681149388399,0.03588811391377522
2018T1,2018,1,S122,Bancos y cooperativas,187639.72580299218,9.11946128621809,2.2104107328479383,0.007729583459539224
2018T2,2018,2,S122,Bancos y cooperativas,190725.9823833147,9.23309885449981,2.222794729383214,0.012383996535275887
