periodo,año,trimestre,acreedor_codigo,acreedor_nombre,acreedor_clasif,deudor_codigo,deudor_nombre,deudor_clasif,exp_ij,pasivo_red_j,D_fondeo
2004T1,2004,1,S128,Compañías de seguros,NBFI,S11,Empresas no financieras,Empresas NF,2875.5326993703593,41653.05317930421,0.06903534026646335
2004T1,2004,1,S129,Fondos de pensiones,NBFI,S11,Empresas no financieras,Empresas NF,2021.5378792239708,41653.05317930421,0.048532765906063154
2004T1,2004,1,S125_S126,Otros intermediarios,NBFI,S11,Empresas no financieras,Empresas NF,695.0777676726874,41653.05317930421,0.016687318566554556
2004T1,2004,1,S13,Gobierno general,Gobierno,S11,Empresas no financieras,Empresas NF,392.99150441699993,41653.05317930421,0.009434878704456225
2004T1,2004,1,S124,FNM,NBFI,S11,Empresas no financieras,Empresas NF,318.2809548813533,41653.05317930421,0.007641239491166395
2004T1,2004,1,S11,Empresas no financieras,Empresas NF,S11,Empresas no financieras,Empresas NF,270.95659528590755,41653.05317930421,0.006505083651839846
2004T1,2004,1,S123,FMM,NBFI,S11,Empresas no financieras,Empresas NF,130.480963946,41653.05317930421,0.0031325666184497357
2004T1,2004,1,S14_S15,Hogares,Hogares,S11,Empresas no financieras,Empresas NF,3.0486896214357047,41653.05317930421,7.319246462707038e-05
2004T1,2004,1,S122,Bancos y cooperativas,Bancario,S121,Banco Central,Banco Central,6688.893765595288,14773.264509036168,0.45277018911453054
2004T1,2004,1,S129,Fondos de pensiones,NBFI,S121,Banco Central,Banco Central,5120.97852,14773.264509036168,0.34663824754966777
