periodo,año,trimestre,tipo_cuenta,sector_activo_codigo,sector_activo_nombre,sector_pasivo_codigo,sector_pasivo_nombre,instrumento,valor,clasificacion_acreedor,flag_sf_acreedor
2004T3,2004,3,Bce Final,S128,Compañías de seguro,S14_S15,Hogares,Prestamos,1092.4735499999997,NBFI,True
2004T3,2004,3,Bce Final,S13,Gobierno general,S11,Empresas no financieras,Prestamos,396.06771,Gobierno,False
2004T3,2004,3,Bce Final,S13,Gobierno general,S14_S15,Hogares,Prestamos,791.7459800052,Gobierno,False
2004T3,2004,3,Bce Final,S2,Resto del mundo,S11,Empresas no financieras,Prestamos,12609.801600984001,Resto del mundo,False
2004T3,2004,3,Bce Final,S11,Empresas no financieras,S11,Empresas no financieras,Titulos deuda,1.2563283746658271e-12,Empresas NF,False
2004T3,2004,3,Bce Final,S122,Bancos y cooperativas,S11,Empresas no financieras,Titulos deuda,206.74832893696,Bancario,True
2004T3,2004,3,Bce Final,S123,Fondos del mercado monetario,S11,Empresas no financieras,Titulos deuda,167.81232413700002,NBFI,True
2004T3,2004,3,Bce Final,S124,Fondos del mercado no monetario,S11,Empresas no financieras,Titulos deuda,455.2679786875615,NBFI,True
2004T3,2004,3,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S11,Empresas no financieras,Titulos deuda,30.21272369992906,NBFI,True
2004T3,2004,3,Bce Final,S128,Compañías de seguro,S11,Empresas no financieras,Titulos deuda,3003.245354767741,NBFI,True
2004T3,2004,3,Bce Final,S129,Fondo de pensiones,S11,Empresas no financieras,Titulos deuda,2293.008111385937,NBFI,True
2004T3,2004,3,Bce Final,S13,Gobierno general,S11,Empresas no financieras,Titulos deuda,22.269793006999993,Gobierno,False
2004T3,2004,3,Bce Final,S14_S15,Hogares,S11,Empresas no financieras,Titulos deuda,1.3075628072492236,Hogares,False
2004T3,2004,3,Bce Final,S2,Resto del mundo,S11,Empresas no financieras,Titulos deuda,3737.281020733001,Resto del mundo,False
2004T4,2004,4,Bce Final,S11,Empresas no financieras,S11,Empresas no financieras,Prestamos,0.4104700000000001,Empresas NF,False
2004T4,2004,4,Bce Final,S122,Bancos y cooperativas,S11,Empresas no financieras,Prestamos,19224.791814018063,Bancario,True
2004T4,2004,4,Bce Final,S122,Bancos y cooperativas,S14_S15,Hogares,Prestamos,12517.099450000002,Bancario,True
2004T4,2004,4,Bce Final,S124,Fondos del mercado no monetario,S11,Empresas no financieras,Prestamos,4.547473508864641e-16,NBFI,True
2004T4,2004,4,Bce Final,S124,Fondos del mercado no monetario,S14_S15,Hogares,Prestamos,15.92474,NBFI,True
2004T4,2004,4,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S11,Empresas no financieras,Prestamos,745.5901636039924,NBFI,True
2004T4,2004,4,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S14_S15,Hogares,Prestamos,775.63292,NBFI,True
2004T4,2004,4,Bce Final,S128,Compañías de seguro,S11,Empresas no financieras,Prestamos,412.61815999999993,NBFI,True
2004T4,2004,4,Bce Final,S128,Compañías de seguro,S14_S15,Hogares,Prestamos,1096.68192,NBFI,True
2004T4,2004,4,Bce Final,S13,Gobierno general,S11,Empresas no financieras,Prestamos,397.82935999999995,Gobierno,False
2004T4,2004,4,Bce Final,S13,Gobierno general,S14_S15,Hogares,Prestamos,792.7228100052,Gobierno,False
2004T4,2004,4,Bce Final,S2,Resto del mundo,S11,Empresas no financieras,Prestamos,10460.208496379004,Resto del mundo,False
2004T4,2004,4,Bce Final,S11,Empresas no financieras,S11,Empresas no financieras,Titulos deuda,475.8211633016885,Empresas NF,False
2004T4,2004,4,Bce Final,S122,Bancos y cooperativas,S11,Empresas no financieras,Titulos deuda,189.92831310892493,Bancario,True
2004T4,2004,4,Bce Final,S123,Fondos del mercado monetario,S11,Empresas no financieras,Titulos deuda,120.839413791,NBFI,True
2004T4,2004,4,Bce Final,S124,Fondos del mercado no monetario,S11,Empresas no financieras,Titulos deuda,432.0783916337712,NBFI,True
2004T4,2004,4,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S11,Empresas no financieras,Titulos deuda,31.75162826705036,NBFI,True
2004T4,2004,4,Bce Final,S128,Compañías de seguro,S11,Empresas no financieras,Titulos deuda,3263.641740936835,NBFI,True
2004T4,2004,4,Bce Final,S129,Fondo de pensiones,S11,Empresas no financieras,Titulos deuda,1991.3568915637,NBFI,True
2004T4,2004,4,Bce Final,S13,Gobierno general,S11,Empresas no financieras,Titulos deuda,23.655468436999996,Gobierno,False
2004T4,2004,4,Bce Final,S14_S15,Hogares,S11,Empresas no financieras,Titulos deuda,2.3296332781966567,Hogares,False
2004T4,2004,4,Bce Final,S2,Resto del mundo,S11,Empresas no financieras,Titulos deuda,3574.124388608,Resto del mundo,False
2005T1,2005,1,Bce Final,S11,Empresas no financieras,S11,Empresas no financieras,Prestamos,0.44248000000000004,Empresas NF,False
2005T1,2005,1,Bce Final,S122,Bancos y cooperativas,S11,Empresas no financieras,Prestamos,19772.949694718067,Bancario,True
2005T1,2005,1,Bce Final,S122,Bancos y cooperativas,S14_S15,Hogares,Prestamos,12977.54657,Bancario,True
2005T1,2005,1,Bce Final,S124,Fondos del mercado no monetario,S11,Empresas no financieras,Prestamos,0.0,NBFI,True
2005T1,2005,1,Bce Final,S124,Fondos del mercado no monetario,S14_S15,Hogares,Prestamos,13.89959,NBFI,True
2005T1,2005,1,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S11,Empresas no financieras,Prestamos,702.2039934534843,NBFI,True
2005T1,2005,1,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S14_S15,Hogares,Prestamos,821.7549100000001,NBFI,True
