periodo,año,trimestre,sector_codigo,sector_nombre,activo_red_nbfi_sector,exp_nbfi_en_bancos,ratio_exp_nbfi_bancos
2005T3,2005,3,S125_S126,Otros intermediarios,5367.323874032125,2243.306508625045,0.4179562406283102
2005T4,2005,4,S125_S126,Otros intermediarios,5707.963373873596,2619.88989460106,0.4589885608924508
2006T1,2006,1,S125_S126,Otros intermediarios,5563.372346080422,2319.398754466699,0.41690518091976914
2006T2,2006,2,S125_S126,Otros intermediarios,5669.0858454075305,2437.8219077889134,0.4300202844456428
2006T3,2006,3,S125_S126,Otros intermediarios,5834.746638517415,2459.552123437211,0.4215353769092145
2006T4,2006,4,S125_S126,Otros intermediarios,6404.144763604046,2834.708034389055,0.44263647044633214
2007T1,2007,1,S125_S126,Otros intermediarios,6845.023387371047,2997.560431542036,0.43791821618498555
2007T2,2007,2,S125_S126,Otros intermediarios,6785.066128075822,2927.3565122261393,0.43144111744365693
2007T3,2007,3,S125_S126,Otros intermediarios,6869.726725227066,2814.0766769793167,0.4096344424655848
2007T4,2007,4,S125_S126,Otros intermediarios,7105.497906922637,2987.0342133592562,0.42038351885926156
2008T1,2008,1,S125_S126,Otros intermediarios,7193.493117020178,2910.567696866823,0.404611174226367
2008T2,2008,2,S125_S126,Otros intermediarios,7615.944588511871,3075.451832634342,0.4038175169070229
2008T3,2008,3,S125_S126,Otros intermediarios,7824.902132011498,3182.581378274027,0.40672475189870533
2008T4,2008,4,S125_S126,Otros intermediarios,8385.679166391685,3672.5277606753225,0.4379523337112828
2009T1,2009,1,S125_S126,Otros intermediarios,8547.44646471674,3400.585599205537,0.39784813081227427
2009T2,2009,2,S125_S126,Otros intermediarios,8814.5838701155,3583.112331316929,0.4064981834780566
2009T3,2009,3,S125_S126,Otros intermediarios,8428.347932490431,3442.5112340730293,0.4084443667545446
2009T4,2009,4,S125_S126,Otros intermediarios,8527.93441618601,3831.05604189543,0.44923610512577233
2010T1,2010,1,S125_S126,Otros intermediarios,8738.616998664635,3864.652685399284,0.44224992192584356
2010T2,2010,2,S125_S126,Otros intermediarios,8482.64907819385,3726.546619557118,0.4393140144317493
2010T3,2010,3,S125_S126,Otros intermediarios,8499.099302706765,3710.0949767366687,0.436528018393089
2010T4,2010,4,S125_S126,Otros intermediarios,8957.341218290581,4006.092028250435,0.44724119921546956
2011T1,2011,1,S125_S126,Otros intermediarios,9235.419072434157,4067.64947538407,0.44044016232302596
2011T2,2011,2,S125_S126,Otros intermediarios,9613.563276298533,4251.947857501326,0.44228635473635064
2011T3,2011,3,S125_S126,Otros intermediarios,9543.77428095485,4112.18413153598,0.4308760884823187
2011T4,2011,4,S125_S126,Otros intermediarios,10506.559792050648,4946.755232635827,0.47082540151521185
2012T1,2012,1,S125_S126,Otros intermediarios,10928.009989297756,4242.925040264947,0.3882614533131115
2012T2,2012,2,S125_S126,Otros intermediarios,10731.227909557829,4081.1038551747333,0.3803016662743576
2012T3,2012,3,S125_S126,Otros intermediarios,10257.121812143594,3402.4175331978713,0.33171269635987816
2012T4,2012,4,S125_S126,Otros intermediarios,10986.636896882212,3035.298962313067,0.27627189200859315
2013T1,2013,1,S125_S126,Otros intermediarios,11811.702082419491,3426.7205118112197,0.2901123384166235
2013T2,2013,2,S125_S126,Otros intermediarios,12290.948123026374,3628.3808427476033,0.29520756303169515
2013T3,2013,3,S125_S126,Otros intermediarios,12307.24390395975,3827.0127230770554,0.31095611275289237
2013T4,2013,4,S125_S126,Otros intermediarios,13264.473231436858,4430.103795714753,0.3339826405782469
2014T1,2014,1,S125_S126,Otros intermediarios,13364.707525266727,4406.668316797261,0.3297242613402656
2014T2,2014,2,S125_S126,Otros intermediarios,13123.84801211552,4069.869123654533,0.3101124852937461
2014T3,2014,3,S125_S126,Otros intermediarios,13754.406568064434,4870.794432382303,0.3541261055705246
2014T4,2014,4,S125_S126,Otros intermediarios,14150.591566924244,5461.177102576577,0.3859327772092296
2015T1,2015,1,S125_S126,Otros intermediarios,14181.682571329799,4984.185527134307,0.351452340162409
2015T2,2015,2,S125_S126,Otros intermediarios,13809.342822885543,5711.149724643861,0.4135714347810277
2015T3,2015,3,S125_S126,Otros intermediarios,13857.146824996424,5584.032006212307,0.4029712665048383
2015T4,2015,4,S125_S126,Otros intermediarios,14254.841016756885,5996.044899929779,0.42063218333205493
2016T1,2016,1,S125_S126,Otros intermediarios,14928.75739699361,6500.869470788622,0.4354595160142252
2016T2,2016,2,S125_S126,Otros intermediarios,13940.87443687863,5884.492849363271,0.4221035686109237
2016T3,2016,3,S125_S126,Otros intermediarios,14190.740068300875,5784.258517550949,0.4076079534760675
2016T4,2016,4,S125_S126,Otros intermediarios,14798.617242717955,6355.729664973613,0.4294813198240609
2017T1,2017,1,S125_S126,Otros intermediarios,14631.131018323425,6152.106904757197,0.4204806106276099
2017T2,2017,2,S125_S126,Otros intermediarios,15457.70815916818,6352.121579906397,0.4109355354945594
2017T3,2017,3,S125_S126,Otros intermediarios,15517.057160899196,6289.066013183995,0.4053001769582674
2017T4,2017,4,S125_S126,Otros intermediarios,15654.337478396943,6379.275230911219,0.4075084774245252
2018T1,2018,1,S125_S126,Otros intermediarios,16745.959401194246,7067.000663916605,0.42201228932948553
2018T2,2018,2,S125_S126,Otros intermediarios,16482.177680789755,6763.574127177824,0.4103568265169765
2018T3,2018,3,S125_S126,Otros intermediarios,17746.723442815917,7636.493199791993,0.4303044009446902
2018T4,2018,4,S125_S126,Otros intermediarios,18807.30264944074,8436.700901501168,0.4485864378724211
2019T1,2019,1,S125_S126,Otros intermediarios,19054.875531543803,8341.298957752162,0.43775142713180243
2019T2,2019,2,S125_S126,Otros intermediarios,18526.13038757064,7658.167645270929,0.4133711403871403
2019T3,2019,3,S125_S126,Otros intermediarios,19622.648398635483,8261.99501175122,0.4210438287385173
2019T4,2019,4,S125_S126,Otros intermediarios,20308.353958061336,9063.184436687747,0.4462786326949036
2020T1,2020,1,S125_S126,Otros intermediarios,20101.738659361108,8291.456420312214,0.41247459042310225
2020T2,2020,2,S125_S126,Otros intermediarios,19908.557697545024,8546.719984200665,0.42929880275830246
2020T3,2020,3,S125_S126,Otros intermediarios,19910.434672647734,8625.19376660708,0.4331996718512667
2020T4,2020,4,S125_S126,Otros intermediarios,19190.792476236304,8198.542689352693,0.4272123050418494
2021T1,2021,1,S125_S126,Otros intermediarios,18877.05347699548,7820.907670060359,0.4143076502692175
2021T2,2021,2,S125_S126,Otros intermediarios,19275.82956054006,8428.718937737694,0.4372688039840472
2021T3,2021,3,S125_S126,Otros intermediarios,18975.413478665687,7897.4778324386825,0.41619529615615086
2021T4,2021,4,S125_S126,Otros intermediarios,19282.245336022665,8237.453630520393,0.4272040671078572
2022T1,2022,1,S125_S126,Otros intermediarios,19595.71902480573,8238.238723203745,0.42041012696575025
2022T2,2022,2,S125_S126,Otros intermediarios,19209.013526543346,7093.2810562134355,0.3692683669784405
2022T3,2022,3,S125_S126,Otros intermediarios,19394.336092809055,6275.160456781855,0.32355634277723644
2022T4,2022,4,S125_S126,Otros intermediarios,20071.657586780042,6646.88885231023,0.33115794366122125
2023T1,2023,1,S125_S126,Otros intermediarios,20048.568271352964,6448.167316520127,0.32162732167432606
2023T2,2023,2,S125_S126,Otros intermediarios,19547.54760523064,6088.965331340972,0.31149510180559187
2023T3,2023,3,S125_S126,Otros intermediarios,20833.428149081014,6567.811888131258,0.3152535358623142
2023T4,2023,4,S125_S126,Otros intermediarios,21272.592547338918,6895.73205850703,0.3241603976178093
2024T1,2024,1,S125_S126,Otros intermediarios,22594.382013869017,7321.926127129822,0.32405958802659146
2024T2,2024,2,S125_S126,Otros intermediarios,22174.07190706295,6894.090431196305,0.3109077331439689
2024T3,2024,3,S125_S126,Otros intermediarios,23575.83844415565,7246.7053951614935,0.3073784804017403
