periodo,año,trimestre,tipo_cuenta,sector_activo_codigo,sector_activo_nombre,sector_pasivo_codigo,sector_pasivo_nombre,instrumento,valor
2003T2,2003,2,Bce Final,S122,Bancos y cooperativas,S124,Fondos del mercado no monetario,Prestamos,42.834630000000004
2003T2,2003,2,Bce Final,S122,Bancos y cooperativas,S125_S126,Otros intermediarios financieros y Auxiliares financieros,Prestamos,2092.290780615957
2003T2,2003,2,Bce Final,S122,Bancos y cooperativas,S128,Compañías de seguro,Prestamos,84.054088638
2003T2,2003,2,Bce Final,S122,Bancos y cooperativas,S13,Gobierno general,Prestamos,99.80409000003979
2003T2,2003,2,Bce Final,S122,Bancos y cooperativas,S14_S15,Hogares,Prestamos,9299.808920000003
2003T2,2003,2,Bce Final,S122,Bancos y cooperativas,S2,Resto del mundo,Prestamos,494.893415358
2003T2,2003,2,Bce Final,S124,Fondos del mercado no monetario,S11,Empresas no financieras,Prestamos,-1.3642420526593924e-15
2003T2,2003,2,Bce Final,S124,Fondos del mercado no monetario,S14_S15,Hogares,Prestamos,34.63061999999999
2003T2,2003,2,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S11,Empresas no financieras,Prestamos,532.8649589475616
2003T2,2003,2,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S125_S126,Otros intermediarios financieros y Auxiliares financieros,Prestamos,0.0
2003T2,2003,2,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S14_S15,Hogares,Prestamos,561.8069300000001
2003T2,2003,2,Bce Final,S128,Compañías de seguro,S11,Empresas no financieras,Prestamos,318.86936999999995
2003T2,2003,2,Bce Final,S128,Compañías de seguro,S125_S126,Otros intermediarios financieros y Auxiliares financieros,Prestamos,0.0
2003T2,2003,2,Bce Final,S128,Compañías de seguro,S14_S15,Hogares,Prestamos,1037.16138
2003T2,2003,2,Bce Final,S13,Gobierno general,S11,Empresas no financieras,Prestamos,508.77031
2003T2,2003,2,Bce Final,S13,Gobierno general,S121,Banco Central,Prestamos,36.72692000000001
2003T2,2003,2,Bce Final,S13,Gobierno general,S122,Bancos y cooperativas,Prestamos,161.8009500000002
2003T2,2003,2,Bce Final,S13,Gobierno general,S14_S15,Hogares,Prestamos,759.58277000519
2003T2,2003,2,Bce Final,S2,Resto del mundo,S11,Empresas no financieras,Prestamos,14797.834003517
2003T2,2003,2,Bce Final,S2,Resto del mundo,S121,Banco Central,Prestamos,122.08106000000002
2003T2,2003,2,Bce Final,S2,Resto del mundo,S122,Bancos y cooperativas,Prestamos,2388.3215935550006
