periodo,sector_codigo,exposicion_pasivo,ASF_t,IS_pasivo,exposicion_activo,IS_activo,activo_red_nbfi_sector,exp_nbfi_en_bancos,ratio_exp_nbfi_bancos,activo_bancos_red,exp_bancos_en_nbfi,ratio_exp_bancos_nbfi,activo_nbfi_red_total,ratio_exp_nbfi_bancos_agg,sector_nombre,año,trimestre
2007T4,S121,9380.686544646538,256977.5522,0.03650391430822625,2118.74491,0.008244863770634048,,,,,,,78295.87009048363,0.3974914587088155,Banco Central,2007,4
2008T1,S121,9357.565536594735,249913.785,0.03744317479964034,1597.2221699999998,0.00639109271223274,,,,,,,76670.27143897618,0.4208516298004583,Banco Central,2008,1
2008T2,S121,10207.436617318464,268607.7558,0.03800127284827442,1541.46655,0.005738726886009001,,,,,,,83416.78558019987,0.3965448191881046,Banco Central,2008,2
2008T3,S121,12971.846374971783,272851.6523,0.04754175488997683,1897.13003,0.006952972481596366,,,,,,,79499.82555188751,0.4065302848822503,Banco Central,2008,3
2008T4,S121,12891.429917391928,279484.73620000004,0.046125702937017586,2624.97154,0.009392182112305279,,,,,,,76319.84875196368,0.4164886466934848,Banco Central,2008,4
2009T1,S121,13234.381914407451,277215.8849,0.04774034474677195,2264.32156,0.008168080125772042,,,,,,,80496.38106420974,0.4190599926261995,Banco Central,2009,1
2009T2,S121,13044.966339074435,284933.7733,0.045782450384846796,2679.27009,0.009403132731405132,,,,,,,84203.8811179105,0.39603834351167577,Banco Central,2009,2
2009T3,S121,13965.527349491866,301371.6477,0.046339884511610835,3610.50093,0.011980227594581387,,,,,,,90493.51307040144,0.3600662605111126,Banco Central,2009,3
2009T4,S121,14720.324903195395,309315.4826,0.04759000351182355,4935.211229999999,0.015955267381109747,,,,,,,91094.31220725802,0.339818250267477,Banco Central,2009,4
2010T1,S121,14729.411227342478,323093.6915,0.045588668596280774,4367.681639999999,0.013518312968979769,,,,,,,97447.12134072163,0.32450328761522634,Banco Central,2010,1
2010T2,S121,12666.600079894866,327731.2393,0.03864935215498349,2846.1074199999994,0.008684272595065975,,,,,,,97929.64293224885,0.3332713659181309,Banco Central,2010,2
2010T3,S121,10960.672937314765,334492.4165,0.03276807603593239,1697.8639999999994,0.005075941684316181,,,,,,,97541.72383141376,0.3045108346635796,Banco Central,2010,3
2010T4,S121,12048.890284463812,342180.5544,0.035212083590170876,1627.76368,0.004757031511782482,,,,,,,100614.28009085158,0.30366742815598313,Banco Central,2010,4
2011T1,S121,13328.836670423412,350647.5023,0.03801206791149418,1660.9779399999993,0.00473688798324573,,,,,,,103647.58466526115,0.2945950474403256,Banco Central,2011,1
2011T2,S121,14032.301353152394,357700.7884,0.03922915970053924,1604.9562699999997,0.004486868136855355,,,,,,,104076.86827038953,0.30430398783631535,Banco Central,2011,2
2011T3,S121,16484.200106010947,360307.9322,0.04575031142212236,1597.42519,0.00443349992392979,,,,,,,105745.68766161385,0.3254418667531432,Banco Central,2011,3
2011T4,S121,19683.51755418106,381675.8276,0.051571297239209966,2591.0838699999995,0.006788703089459154,,,,,,,107520.51831320765,0.32733039172653866,Banco Central,2011,4
