periodo,año,trimestre,sector_codigo,sector_nombre,A_notional_nominal_total,A_notional_real_total
2010T2,2010,2,S122,Bancos y cooperativas,92979.9709575389,5.18318421604885
2010T3,2010,3,S122,Bancos y cooperativas,94092.03036041814,5.235295740134813
2010T4,2010,4,S122,Bancos y cooperativas,98338.96833075718,5.4332369707413015
2011T1,2011,1,S122,Bancos y cooperativas,101826.68227670577,5.59486788750422
2011T2,2011,2,S122,Bancos y cooperativas,106282.02994306761,5.798402380658906
2011T3,2011,3,S122,Bancos y cooperativas,108753.33125048384,5.910669500552759
2011T4,2011,4,S122,Bancos y cooperativas,114988.4068184242,6.190344174352891
2012T1,2012,1,S122,Bancos y cooperativas,115709.51990664804,6.22234598357941
2012T2,2012,2,S122,Bancos y cooperativas,120436.03316445224,6.431230858253441
2012T3,2012,3,S122,Bancos y cooperativas,122786.78540717387,6.5352876525468275
2012T4,2012,4,S122,Bancos y cooperativas,127436.51976461518,6.738859529890669
2013T1,2013,1,S122,Bancos y cooperativas,128138.27763587462,6.769545008520147
2013T2,2013,2,S122,Bancos y cooperativas,130345.9329346627,6.866148832002834
2013T3,2013,3,S122,Bancos y cooperativas,132365.09580230777,6.95359243532608
2013T4,2013,4,S122,Bancos y cooperativas,136668.52995378518,7.1382134299513496
2014T1,2014,1,S122,Bancos y cooperativas,137413.57662364733,7.169773883065923
2014T2,2014,2,S122,Bancos y cooperativas,138085.52762992782,7.197744325737966
2014T3,2014,3,S122,Bancos y cooperativas,140995.2529435431,7.318140010349914
2014T4,2014,4,S122,Bancos y cooperativas,148647.66397728954,7.628871319913217
2015T1,2015,1,S122,Bancos y cooperativas,148833.34008609218,7.636412146286301
2015T2,2015,2,S122,Bancos y cooperativas,151411.10709197586,7.739593154696982
2015T3,2015,3,S122,Bancos y cooperativas,154227.9400798949,7.850724460664659
2015T4,2015,4,S122,Bancos y cooperativas,161452.01478303707,8.132594581809894
2016T1,2016,1,S122,Bancos y cooperativas,162547.1946064782,8.175023595524076
2016T2,2016,2,S122,Bancos y cooperativas,165785.66901504353,8.299331353355424
2016T3,2016,3,S122,Bancos y cooperativas,165982.3811740248,8.306832493861798
